localidade;nome;lat;long
SBCG;CAMPO GRANDE AEROPORTO;-20,47;-54,67
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SWUQ;SURUCUCU;2,836;-63,65
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SNRH;JOÃO FONSECA;-7,444;-70,02
SBRB;RIO BRANCO AEROPORTO;-9,87;-67,9
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBGR;GUARULHOS AEROPORTO;-23,44;-46,47
SBGL;GALEAO AEROPORTO;-22,8;-43,25
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBPV;PORTO VELHO AEROPORTO;-8,7;-63,9
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBTS;TIRIOS (BASE AEREA);2,22;-55,93
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBBE;BELEM AEROPORTO;-1,4;-48,45
SNOX;ORIXIMINA;-1,716;-55,84
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBTS;TIRIOS (BASE AEREA);2,22;-55,93
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBTT;TABATINGA;-4,25;-69,93
SWEE;ESTIRÃO DO EQUADOR;-4,524;-71,56
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SWBV;AUARÍS;4,004;-64,5
SWBV;AUARÍS;4,004;-64,5
SWBV;AUARÍS;4,004;-64,5
SWBV;AUARÍS;4,004;-64,5
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBTT;TABATINGA;-4,25;-69,93
SWEE;ESTIRÃO DO EQUADOR;-4,524;-71,56
SBTT;TABATINGA;-4,25;-69,93
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SNRH;JOÃO FONSECA;-7,444;-70,02
SBTF;TEFE;-3,38;-64,73
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBRB;RIO BRANCO AEROPORTO;-9,87;-67,9
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBTF;TEFE;-3,38;-64,73
SBTT;TABATINGA;-4,25;-69,93
SWEE;ESTIRÃO DO EQUADOR;-4,524;-71,56
SWJV;JAVARÍ;-5,132;-72,81
SBTT;TABATINGA;-4,25;-69,93
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBTF;TEFE;-3,38;-64,73
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBMY;MANICORE;-5,82;-61,29
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SWBV;AUARÍS;4,004;-64,5
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SBYA;IAUARETE AEROPORTO;0,61;-69,2
SBUA;SAO GABRIEL DA CACHOEIRA;-0,13;-66,98
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBLS;LAGOA SANTA;-19,65;-43,9
SBGL;GALEAO AEROPORTO;-22,8;-43,25
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SWUQ;SURUCUCU;2,836;-63,65
SWUQ;SURUCUCU;2,836;-63,65
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SWKO;COARÍ;-4,131;-63,14
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBCG;CAMPO GRANDE AEROPORTO;-20,47;-54,67
SBGR;GUARULHOS AEROPORTO;-23,44;-46,47
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SWEE;ESTIRÃO DO EQUADOR;-4,524;-71,56
SBTT;TABATINGA;-4,25;-69,93
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBMN;MANAUS AEROPORTO;-3,13;-59,98
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBMQ;MACAPA;-0,05;-51,11
SBBE;BELEM AEROPORTO;-1,4;-48,45
SBMQ;MACAPA;-0,05;-51,11
SBBV;BOA VISTA AEROPORTO;2,84;-60,68
